"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/nevdread/dev/devAds/designStudio/server/src/app.ts", "TypeScript", 31, 17, 16, 64
"/Users/nevdread/dev/devAds/designStudio/server/src/controller/session.controller.ts", "TypeScript", 127, 18, 37, 182
"/Users/nevdread/dev/devAds/designStudio/server/src/controller/user.controller.ts", "TypeScript", 128, 12, 29, 169
"/Users/nevdread/dev/devAds/designStudio/server/src/controller/workspace.controller.ts", "TypeScript", 234, 3, 48, 285
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/deserializeUser.ts", "TypeScript", 47, 2, 16, 65
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/requireDesigner.ts", "TypeScript", 13, 0, 7, 20
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/requireUser.ts", "TypeScript", 10, 0, 5, 15
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/validateResource.ts", "TypeScript", 17, 0, 3, 20
"/Users/nevdread/dev/devAds/designStudio/server/src/models/project.model.ts", "TypeScript", 22, 0, 7, 29
"/Users/nevdread/dev/devAds/designStudio/server/src/models/projectElements.model.ts", "TypeScript", 50, 1, 8, 59
"/Users/nevdread/dev/devAds/designStudio/server/src/models/session.model.ts", "TypeScript", 21, 0, 5, 26
"/Users/nevdread/dev/devAds/designStudio/server/src/models/user.model.ts", "TypeScript", 100, 1, 14, 115
"/Users/nevdread/dev/devAds/designStudio/server/src/models/workspace.model.ts", "TypeScript", 32, 1, 7, 40
"/Users/nevdread/dev/devAds/designStudio/server/src/routes.ts", "TypeScript", 183, 6, 25, 214
"/Users/nevdread/dev/devAds/designStudio/server/src/schema/session.schema.ts", "TypeScript", 12, 52, 4, 68
"/Users/nevdread/dev/devAds/designStudio/server/src/schema/user.schema.ts", "TypeScript", 67, 38, 7, 112
"/Users/nevdread/dev/devAds/designStudio/server/src/schema/workspace.schema.ts", "TypeScript", 140, 50, 31, 221
"/Users/nevdread/dev/devAds/designStudio/server/src/service/session.service.ts", "TypeScript", 37, 0, 16, 53
"/Users/nevdread/dev/devAds/designStudio/server/src/service/user.service.ts", "TypeScript", 212, 16, 35, 263
"/Users/nevdread/dev/devAds/designStudio/server/src/service/workspace.service.ts", "TypeScript", 327, 27, 43, 397
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/connect.ts", "TypeScript", 14, 0, 3, 17
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/jwt.utils.ts", "TypeScript", 27, 0, 4, 31
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/logger.ts", "TypeScript", 14, 5, 4, 23
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/mailter.ts", "TypeScript", 29, 5, 8, 42
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/metrics.ts", "TypeScript", 25, 0, 9, 34
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/swagger.ts", "TypeScript", 39, 2, 7, 48
"Total", "-", 1958, 256, 398, 2612
